id,title,description,imageUrl
4,Sushi,"Japanese dish consisting of cooked vinegared rice combined with other ingredients, usually seafood (often raw), vegetables, and occasionally tropical fruits.",https://example.com/images/sushi.jpg
2,Nasi Goreng,"Indonesian style fried rice, typically flavored with sweet soy sauce (kecap manis), shallots, garlic, tamarind, chili, and accompanied by various additions like egg, chicken, shrimp, or vegetables.",https://example.com/images/nasi_goreng.jpg
5,Ramen,"Japanese noodle soup dish consisting of wheat noodles served in a meat or fish-based broth, often flavored with soy sauce or miso, and topped with ingredients like sliced pork, nori, menma, and scallions.",https://example.com/images/ramen.jpg
16,Burger (Hamburger),"A food consisting of fillings—usually a patty of ground meat, typically beef—placed inside a sliced bun. Often served with cheese, lettuce, tomato, onion, pickles, bacon, or chiles.",https://example.com/images/burger.jpg
11,Bebek Peking (Peking Duck),"Famous duck dish from Beijing that has been prepared since the imperial era. The duck is prized for its thin, crisp skin, with authentic versions serving mostly the skin and little meat.",https://example.com/images/bebek_peking.jpg
13,Pizza,"Italian dish consisting of a usually round, flat base of leavened wheat-based dough topped with tomatoes, cheese, and often various other ingredients, baked at a high temperature.",https://example.com/images/pizza.jpg
1,Rendang,"Slow-cooked beef simmered in rich coconut milk and a mixture of spices, originating from West Sumatra. Often cited as one of the world's most delicious foods.",https://example.com/images/rendang.jpg
3,Sate (Satay),"Grilled skewers of seasoned meat (chicken, beef, lamb, etc.), served with a flavorful peanut sauce or kecap manis based sauce.",https://example.com/images/sate.jpg
19,Tom Yum,"Thai hot and sour soup, usually cooked with shrimp (Tom Yum Goong). Characterized by its distinct hot and sour flavors, with fragrant spices and herbs generously used in the broth.",https://example.com/images/tom_yum.jpg
20,Pad Thai,"Stir-fried rice noodle dish commonly served as a street food and at casual local eateries in Thailand. Made with rice noodles, shrimp or chicken or tofu, peanuts, scrambled egg, and bean sprouts.",https://example.com/images/pad_thai.jpg
